Time(h);PR1;PDF1.2;WRKY70;WRKY54;WRKY33;MYC2;ERF1;LOX2
0;1.986609436;0.171415437;-1.173110236;-0.458323649;4.424988445;-0.184604468;-0.380482895;0.235495733
0.5;3.395349886;-0.388911056;0.870192712;0.356763768;2.937890934;0.145601441;0.508974228;0.419147508
1;1.536523237;2.564874945;-0.049382436;0.017384398;1.304284557;-0.09196723;-0.875839263;1.121275989
3;-0.490099838;0.593172304;-0.391666716;-0.431395103;0.909735879;0.290934658;-0.125682117;0.625985015
6;-0.046488266;0.368309647;-0.697770004;-0.834785125;-0.244379104;0.119312205;0.757225585;5.752236414
9;0.971407901;1.007404339;0.620909723;-0.135552843;0.418617272;-0.389206043;0.83537252;-0.036166826
12;1.919401813;8.410474908;0.958096856;0.290329228;0.075050836;-0.182073054;0.965528646;0.029954122
18;6.547332623;-2.526832545;2.326297413;0.547834344;-1.671870329;-0.19318017;-0.58561642;-5.873542165
24;5.551651347;-8.477788445;-1.151199393;-0.756220646;0.265123247;0.183137881;0.648321911;2.063770282
